avatar_id,image_label,zone,crop_file,width,height,mean_r,mean_g,mean_b,mean_luminance,std_luminance,mean_hue,mean_saturation,mean_value,mean_chroma_proxy,p05_luminance,p95_luminance
avatar_a_mens_grooming,base,eyes,06_analysis/crops/avatar_a_mens_grooming/base_eyes.jpg,2320,840,0.7484,0.5905,0.4773,0.6159,0.1803,0.0754,0.3688,0.7486,0.2715,0.2309,0.8277
avatar_a_mens_grooming,base,hair_beard,06_analysis/crops/avatar_a_mens_grooming/base_hair_beard.jpg,2120,1560,0.6009,0.4527,0.3519,0.4769,0.1942,0.1153,0.4329,0.6055,0.2585,0.0799,0.7395
avatar_a_mens_grooming,base,lips,06_analysis/crops/avatar_a_mens_grooming/base_lips.jpg,1240,600,0.6840,0.4990,0.4158,0.5323,0.1472,0.1446,0.4027,0.6840,0.2700,0.2676,0.7486
avatar_a_mens_grooming,base,skin_cheeks,06_analysis/crops/avatar_a_mens_grooming/base_skin_cheeks.jpg,2480,900,0.7280,0.5783,0.4713,0.6024,0.1812,0.0905,0.3625,0.7296,0.2599,0.2560,0.8370
avatar_a_mens_grooming,base,skin_forehead,06_analysis/crops/avatar_a_mens_grooming/base_skin_forehead.jpg,1200,780,0.8086,0.6730,0.5694,0.6944,0.1591,0.0728,0.2999,0.8086,0.2393,0.3166,0.8667
avatar_a_mens_grooming,final_realism_001,eyes,06_analysis/crops/avatar_a_mens_grooming/final_realism_001_eyes.jpg,2320,840,0.7248,0.5658,0.4519,0.5914,0.1693,0.0751,0.3824,0.7251,0.2733,0.2252,0.7928
avatar_a_mens_grooming,final_realism_001,hair_beard,06_analysis/crops/avatar_a_mens_grooming/final_realism_001_hair_beard.jpg,2120,1560,0.5916,0.4440,0.3434,0.4681,0.1865,0.1152,0.4378,0.5966,0.2586,0.0850,0.7104
avatar_a_mens_grooming,final_realism_001,lips,06_analysis/crops/avatar_a_mens_grooming/final_realism_001_lips.jpg,1240,600,0.6684,0.4857,0.4028,0.5186,0.1449,0.1427,0.4094,0.6684,0.2674,0.2513,0.7239
avatar_a_mens_grooming,final_realism_001,skin_cheeks,06_analysis/crops/avatar_a_mens_grooming/final_realism_001_skin_cheeks.jpg,2480,900,0.7064,0.5557,0.4481,0.5800,0.1705,0.0903,0.3749,0.7081,0.2617,0.2410,0.8008
avatar_a_mens_grooming,final_realism_001,skin_forehead,06_analysis/crops/avatar_a_mens_grooming/final_realism_001_skin_forehead.jpg,1200,780,0.7767,0.6384,0.5333,0.6602,0.1515,0.0725,0.3174,0.7768,0.2435,0.3032,0.8387
