avatar_id,image_label,zone,crop_file,width,height,mean_r,mean_g,mean_b,mean_luminance,std_luminance,mean_hue,mean_saturation,mean_value,mean_chroma_proxy,p05_luminance,p95_luminance
avatar_b_skincare_creator,base,eyes,06_analysis/crops/avatar_b_skincare_creator/base_eyes.jpg,1759,828,0.7377,0.5420,0.4515,0.5771,0.1581,0.0637,0.4012,0.7382,0.2871,0.2508,0.7691
avatar_b_skincare_creator,base,hair_beard,06_analysis/crops/avatar_b_skincare_creator/base_hair_beard.jpg,2121,1058,0.6347,0.5126,0.4352,0.5330,0.1794,0.1241,0.3443,0.6360,0.2015,0.2101,0.7534
avatar_b_skincare_creator,base,lips,06_analysis/crops/avatar_b_skincare_creator/base_lips.jpg,1397,736,0.8279,0.6142,0.5306,0.6536,0.1056,0.0621,0.3625,0.8279,0.2975,0.4367,0.7828
avatar_b_skincare_creator,base,skin_cheeks,06_analysis/crops/avatar_b_skincare_creator/base_skin_cheeks.jpg,1759,919,0.8336,0.6201,0.5246,0.6586,0.1131,0.0522,0.3786,0.8336,0.3091,0.4726,0.8170
avatar_b_skincare_creator,base,skin_forehead,06_analysis/crops/avatar_b_skincare_creator/base_skin_forehead.jpg,1087,736,0.8473,0.6542,0.5578,0.6883,0.0758,0.0555,0.3453,0.8473,0.2896,0.5380,0.7769
avatar_b_skincare_creator,final_realism_001,eyes,06_analysis/crops/avatar_b_skincare_creator/final_realism_001_eyes.jpg,1759,828,0.8113,0.5792,0.4591,0.6199,0.1504,0.0684,0.4433,0.8120,0.3534,0.3005,0.7931
avatar_b_skincare_creator,final_realism_001,hair_beard,06_analysis/crops/avatar_b_skincare_creator/final_realism_001_hair_beard.jpg,2121,1058,0.6860,0.5409,0.4397,0.5645,0.1624,0.1535,0.3781,0.6894,0.2528,0.2627,0.7724
avatar_b_skincare_creator,final_realism_001,lips,06_analysis/crops/avatar_b_skincare_creator/final_realism_001_lips.jpg,1397,736,0.8871,0.6368,0.5256,0.6820,0.1008,0.0681,0.4089,0.8872,0.3619,0.4798,0.8066
avatar_b_skincare_creator,final_realism_001,skin_cheeks,06_analysis/crops/avatar_b_skincare_creator/final_realism_001_skin_cheeks.jpg,1759,919,0.8960,0.6465,0.5187,0.6903,0.1007,0.0572,0.4265,0.8960,0.3772,0.5262,0.8312
avatar_b_skincare_creator,final_realism_001,skin_forehead,06_analysis/crops/avatar_b_skincare_creator/final_realism_001_skin_forehead.jpg,1087,736,0.9047,0.6781,0.5502,0.7171,0.0660,0.0601,0.3946,0.9047,0.3545,0.5866,0.7962
